description,category
Pizza,Food
Burger,Food
Zomato order,Food
Dinner with friends,Food
Tea and Coffee,Food
Grocery shopping,Food
Milk and Eggs,Food
Restaurant bill,Food
Petrol,Travel
Uber ride,Travel
Train ticket,Travel
Auto fare,Travel
Flight booking,Travel
Bus ticket,Travel
Fuel for bike,Travel
Movie ticket,Entertainment
Netflix subscription,Entertainment
Spotify premium,Entertainment
Gaming recharge,Entertainment
Amusement park,Entertainment
Concert ticket,Entertainment
New Shoes,Shopping
T-Shirt purchase,Shopping
Jeans from Mall,Shopping
Amazon shopping,Shopping
Flipkart order,Shopping
Laptop bag,Shopping
Electricity bill,Bills
Mobile recharge,Bills
WiFi bill,Bills
Water bill,Bills
House rent,Bills
Gym membership,Health
Doctor fees,Health
Medicines,Health
Hospital bill,Health
Course fee,Education
Books purchase,Education
College fees,Education
Stationery items,Education
